12:37:45 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
17:48:24 [AccountInfo] Account disconnected by clear (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
17:48:24 [AccountInfo] Account disconnected by clear (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
17:48:24 [AccountInfo] Account disconnected by clear (Account: salchipapa, IpAddress: 181.46.166.152, GameServerCode: 0)
17:48:24 [AccountInfo] Account disconnected by clear (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
17:49:34 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.200.184, GameServerCode: 0)
17:49:36 [AccountInfo] Account connected (Account: carolina, IpAddress: 181.46.166.152, GameServerCode: 0)
17:49:37 [AccountInfo] Account connected (Account: dangerous8, IpAddress: 170.51.132.227, GameServerCode: 0)
17:49:38 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
17:49:38 [AccountInfo] Account connected (Account: yashiro, IpAddress: 181.46.166.152, GameServerCode: 0)
17:49:38 [AccountInfo] Account connected (Account: javier, IpAddress: 181.46.166.152, GameServerCode: 0)
17:49:38 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
17:49:38 [AccountInfo] Account connected (Account: salchipapa, IpAddress: 181.46.166.152, GameServerCode: 0)
17:49:39 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.200.184, GameServerCode: 0)
17:49:39 [AccountInfo] Account connected (Account: dangerous7, IpAddress: 170.51.132.227, GameServerCode: 0)
17:50:14 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
18:04:27 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
18:04:57 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
18:17:27 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
18:17:55 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
18:26:54 [AccountInfo] Account disconnected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
18:29:08 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
18:31:07 [AccountInfo] Account connected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
18:31:58 [AccountInfo] Account connected (Account: braian92, IpAddress: 190.17.22.8, GameServerCode: 0)
