01:53:54 [AccountInfo] Account connected (Account: all950, IpAddress: 186.128.3.18, GameServerCode: 0)
06:42:44 [AccountInfo] Account connected (Account: belen107, IpAddress: 186.39.203.82, GameServerCode: 0)
06:43:14 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.203.82, GameServerCode: 0)
07:32:49 [AccountInfo] Account disconnected (Account: all950, IpAddress: 186.128.3.18, GameServerCode: 0)
10:10:48 [AccountInfo] Account disconnected by clear (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
10:10:49 [AccountInfo] Account disconnected by clear (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
10:10:49 [AccountInfo] Account disconnected by clear (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 0)
10:10:49 [AccountInfo] Account disconnected by clear (Account: belen107, IpAddress: 186.39.203.82, GameServerCode: 0)
10:10:49 [AccountInfo] Account disconnected by clear (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
10:10:49 [AccountInfo] Account disconnected by clear (Account: ciro107, IpAddress: 186.39.203.82, GameServerCode: 0)
10:10:49 [AccountInfo] Account disconnected by clear (Account: erika107, IpAddress: 186.39.203.82, GameServerCode: 0)
10:18:00 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
10:18:01 [AccountInfo] Account connected (Account: ciro107, IpAddress: 186.39.203.82, GameServerCode: 0)
10:18:01 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
10:18:01 [AccountInfo] Account connected (Account: belen107, IpAddress: 186.39.203.82, GameServerCode: 0)
10:18:02 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 0)
10:18:02 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.203.82, GameServerCode: 0)
10:18:02 [AccountInfo] Account connected (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
10:26:36 [AccountInfo] Account connected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
10:34:28 [AccountInfo] Account disconnected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
10:34:37 [AccountInfo] Account connected (Account: braian92, IpAddress: 190.17.22.8, GameServerCode: 0)
10:38:00 [AccountInfo] Account connected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
10:49:40 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 0)
10:49:41 [AccountInfo] Account connected (Account: braian92, IpAddress: 190.17.22.8, GameServerCode: 0)
10:49:41 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
10:49:42 [AccountInfo] Account connected (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
10:50:05 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
11:00:50 [AccountInfo] Account connected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
11:02:04 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.203.82, GameServerCode: 0)
11:02:18 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
11:02:51 [AccountInfo] Account connected (Account: ciro107, IpAddress: 186.39.203.82, GameServerCode: 0)
11:03:49 [AccountInfo] Account connected (Account: belen107, IpAddress: 186.39.203.82, GameServerCode: 0)
11:25:46 [AccountInfo] Account connected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
11:25:55 [AccountInfo] Account disconnected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
11:26:05 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
11:30:43 [AccountInfo] Account connected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
11:39:02 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
11:42:52 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
11:43:12 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
12:04:45 [AccountInfo] Account disconnected (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 0)
12:05:19 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 0)
12:08:21 [AccountInfo] Account disconnected (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 0)
12:08:35 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 0)
12:09:48 [AccountInfo] Account disconnected (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 0)
12:12:02 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 0)
12:20:59 [AccountInfo] Account connected (Account: Tiagocal77, IpAddress: 181.209.83.179, GameServerCode: 0)
12:34:39 [AccountInfo] Account disconnected (Account: Tiagocal77, IpAddress: 181.209.83.179, GameServerCode: 0)
12:37:47 [AccountInfo] Account connected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
12:37:47 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
12:37:47 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
12:37:47 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 0)
12:37:47 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
12:37:47 [AccountInfo] Account connected (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
12:37:47 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
12:37:47 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.203.82, GameServerCode: 0)
12:37:47 [AccountInfo] Account connected (Account: belen107, IpAddress: 186.39.203.82, GameServerCode: 0)
12:37:47 [AccountInfo] Account connected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
12:37:47 [AccountInfo] Account connected (Account: ciro107, IpAddress: 186.39.203.82, GameServerCode: 0)
12:37:47 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
12:41:52 [AccountInfo] Account connected (Account: braian92, IpAddress: 190.17.22.8, GameServerCode: 0)
12:45:42 [AccountInfo] Account disconnected (Account: yincox, IpAddress: 45.171.224.166, GameServerCode: 0)
12:55:55 [AccountInfo] Account disconnected by clear (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 19)
12:55:55 [AccountInfo] Account disconnected by clear (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 19)
12:55:55 [AccountInfo] Account disconnected by clear (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 19)
12:55:55 [AccountInfo] Account disconnected by clear (Account: braian92, IpAddress: 190.17.22.8, GameServerCode: 19)
12:55:55 [AccountInfo] Account disconnected by clear (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 19)
12:56:35 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
12:56:35 [AccountInfo] Account connected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
12:56:35 [AccountInfo] Account connected (Account: braian92, IpAddress: 190.17.22.8, GameServerCode: 0)
12:56:35 [AccountInfo] Account connected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 0)
12:56:35 [AccountInfo] Account connected (Account: alberto107, IpAddress: 186.39.203.82, GameServerCode: 0)
12:56:49 [AccountInfo] Account connected (Account: xXManiacXx, IpAddress: 181.191.143.8, GameServerCode: 0)
12:56:49 [AccountInfo] Account connected (Account: belen107, IpAddress: 186.39.203.82, GameServerCode: 0)
12:56:49 [AccountInfo] Account connected (Account: erika107, IpAddress: 186.39.203.82, GameServerCode: 0)
12:56:49 [AccountInfo] Account connected (Account: ciro107, IpAddress: 186.39.203.82, GameServerCode: 0)
12:56:49 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
12:56:49 [AccountInfo] Account connected (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
12:57:19 [AccountInfo] Account connected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
13:01:57 [AccountInfo] Account disconnected (Account: yinco, IpAddress: 45.171.224.166, GameServerCode: 19)
14:51:48 [AccountInfo] Account disconnected (Account: eliansito, IpAddress: 186.22.19.90, GameServerCode: 0)
15:35:08 [AccountInfo] Account disconnected (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
15:38:19 [AccountInfo] Account connected (Account: 92nato2, IpAddress: 200.5.101.170, GameServerCode: 0)
15:52:54 [AccountInfo] Account disconnected (Account: braian92, IpAddress: 190.17.22.8, GameServerCode: 0)
15:52:56 [AccountInfo] Account disconnected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
15:53:00 [AccountInfo] Account disconnected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
16:01:29 [AccountInfo] Account connected (Account: braian90, IpAddress: 190.17.22.8, GameServerCode: 0)
16:03:59 [AccountInfo] Account connected (Account: braian91, IpAddress: 190.17.22.8, GameServerCode: 0)
16:06:46 [AccountInfo] Account connected (Account: braian92, IpAddress: 190.17.22.8, GameServerCode: 0)
17:36:42 [AccountInfo] Account connected (Account: all950, IpAddress: 186.128.3.18, GameServerCode: 0)
17:56:55 [AccountInfo] Account connected (Account: javier89, IpAddress: 181.46.166.152, GameServerCode: 0)
19:25:36 [AccountInfo] Account disconnected (Account: all950, IpAddress: 186.128.3.18, GameServerCode: 0)
19:25:51 [AccountInfo] Account connected (Account: franqito, IpAddress: 186.22.19.90, GameServerCode: 0)
21:43:57 [AccountInfo] Account disconnected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
21:45:08 [AccountInfo] Account connected (Account: 92nato, IpAddress: 200.5.101.170, GameServerCode: 0)
