//Item   Effect   EffectValue   EffectLevel   ColorR   ColorG   ColorB  EffectType     EffectSize   ColorSide

//Horn of Steal
 6428 32290 62 0 1 0.5 0.0 7 0 0
 6428 32290 55 0 1 0.5 0.0 7 0 0
 6428 32290 52 0 1 0.5 0.0 7 0 0
 6428 32290 53 0 1 0.5 0.0 7 0 0
 6428 32290 54 0 1 0.5 0.0 7 0 0

// WING OF ANGEL AND DEVIL
6429 32355 1  0 1    1    1     1.95 0.0 0.2
6429 32373 14 0 0.53 0.36 1.00  0.0  0.0 0.1
6429 32373 26 0 0.53 0.36 1.00  0.0  0.0 0.1

//Silver Heart Sword 
62 32113 4 0 3.0 0.73 6.0 3 -0.005 -0.005

//Silver Heart Magic Sword 
60 32113 4 0 3.0 0.73 6.0 3 -0.005 -0.005

//Silver Heart ShortSword
61 32113 1 0 3.0 0.73 6.0 3 -0.005 -0.005

//Silver Heart Scepter
1055 32113 3 0 3.0 0.73 6.0 3 -0.005 -0.005

//Silver Heart Mace
1054 32113 115 0 3.0 0.73 6.0 3 -0.005 -0.005

//Silver Heart Lance
1549 32113 3 0 3.0 0.73 6.0 3 -0.005 -0.005

//Silver Heart Bow
2083 32113 2 0 3.0 0.73 6.0 3 -0.005 -0.005

//Silver Heart Staff
2625 32113 11 0 3.0 0.73 6.0 3 -0.005 -0.005

//Silver Heart Stick
2626 32113 5 0 3.0 0.73 6.0 3 -0.005 -0.005

end
