//========================================================================================================================================
// GHOST HORSE
//========================================================================================================================================
//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB   ColorSize   ColorMain   ColorSide
6903        32380         19           0               1.0     0.3     0.0      1.0         0.2         0.2
6903        32380         57           0               1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         58            0               1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         59           0               1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         60           0               1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         60           0             1.0     0.3     0.0      1.0         0.2         0.2
6903        32380         99            0               1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         100            0               1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         101           0               1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         102            0              1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         103            0              1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         103            0              1.0     0.3     0.0      1.0         0.2         0.2
6903        32380         117            0              1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         118           0              1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         119            0              1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         120            0              1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         121            0              1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         135            0              1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         136            0              1.0     0.0     0.0      1.0         0.2         0.2
6903        32380         121            0             1.0     0.3     0.0     1.0         0.2         0.2
//========================================================================================================================================
// GHOST
//========================================================================================================================================

6904        32002         3            0              1.0     0.5     0.0       2.0         0.2         0.2
6904        32002         4            0              1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         5            0              1.0     0.5    0.0       2.0        0.2         0.2
6904        32002         3            0              1.0     0.5     0.0       2.0         0.2         0.2
6904        32002         4            0              1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         5            0              1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         6            0              1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         7            0              1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         8            0              1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         9            0              1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         9            0              1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         9            0              1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         10            0             1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         13            0             1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         20            0             1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         21            0             0.80     0.3     0.0       2.0        0.2         0.2
6904        32002         26            0             1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         27            0             0.80     0.3     0.0       2.0        0.2         0.2
6904        32002         31            0             1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         33            0             1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         34            0             1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         35            0             1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         36            0             0.80     0.3     0.0       2.0        0.2         0.2
6904        32002         37            0             0.80     0.3     0.0       2.0        0.2         0.2
6904        32002         41            0             1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         42            0             1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         43            0             1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         44            0             0.80     0.3     0.0       2.0        0.2         0.2
6904        32002         45            0             0.80     0.3     0.0       2.0        0.2         0.2
6904        32002         49            0             0.80     0.3     0.0       2.0        0.2         0.2
6904        32002         50            0             0.80     0.3     0.0       2.0        0.2         0.2
6904        32002         51            0             1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         52            0             1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         55            0             1.0     0.5     0.0       2.0        0.75         0.2
6904        32002         57            0             1.0     0.5     0.0       2.0        0.75         0.2
6904        32002         42            0             1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         43            0             1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         22            0             0.80     0.3     0.0       2.0        0.2         0.2
6904        32002         22            0             0.80     0.3     0.0       2.0        0.2         0.2
6904        32002         23            0             0.80     0.3     0.0       2.0        0.2         0.2
6904        32002         23            0             0.80     0.3     0.0       2.0        0.2         0.2
6904        32002         28            0             0.80     0.3     0.0       2.0        0.2         0.2
6904        32002         28            0             0.80     0.3     0.0       2.0        0.2         0.2
6904        32002         29            0             0.80     0.3     0.0       2.0        0.2         0.2
6904        32002         29            0             0.80     0.3     0.0       2.0        0.2         0.2
6904        32002         3            0              1.0     0.5     0.0       2.0         0.2         0.2
6904        32002         4            0              1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         5            0              1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         6            0              1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         7            0              1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         8            0              1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         9            0              1.0     0.5     0.0       2.0        0.2         0.2
6904        32002         10            0             1.0     0.5     0.0       2.0        0.2         0.2
//Fierce Lion by Kapocha (fiercelion.bmd)
//Static
    6907        32501         41            0              0.8     0.25     1.0       0.125                   0.0                 0.0		
    6907        32002         41            0              0.8     0.25     1.0       0.5                   0.0                 0.0			
    6907        32501         42            0              0.8     0.25     1.0       0.125                   0.0                 0.0		
    6907        32002         42            0              0.8     0.25     1.0       0.5                   0.0                 0.0		
    6907        32002         40            0              0.2     0.3     0.6       3.25                   0.0                 0.0			
	6907        32002         43            0              0.2     0.3     0.6       3.25                   0.0                 0.0			
	6907        32002         44            0              0.2     0.3     0.6       3.25                   0.0                 0.0			
	6907        32002         105            0             0.2     0.3     0.6       3.25                   0.0                 0.0			
	6907        32002         107            0             0.2     0.3     0.6       3.25                   0.0                 0.0			
	6907        32002         108            0             0.2     0.3     0.6       3.25                   0.0                 0.0			
	6907        32002         148            0             0.2     0.3     0.6       3.25                   0.0                 0.0			
	6907        32002         156            0             0.2     0.3     0.6       3.25                   0.0                 0.0			
	6907        32002         157            0             0.2     0.3     0.6       3.25                   0.0                 0.0					
	6907        32002         58            0              0.2     0.3     0.6       2.0                   0.0                 0.0			
	6907        32002         62            0              0.2     0.3     0.6       2.0                   0.0                 0.0		
	6907        32002         63            0              0.2     0.3     0.6       2.0                   0.0                 0.0		
	6907        32002         89            0              0.2     0.3     0.6       2.0                   0.0                 0.0		
	6907        32002         125            0             0.2     0.3     0.6       2.0                   0.0                 0.0	
	6907        32002         126            0             0.2     0.3     0.6       2.0                   0.0                 0.0	
	6907        32002         127            0             0.2     0.3     0.6       2.0                   0.0                 0.0			
	6907        32002         91            0              0.2     0.3     0.6       2.0                   0.0                 0.0		
	6907        32002         106            0             0.2     0.3     0.6       2.0                   0.0                 0.0		
	6907        32002         77            0              0.2     0.3     0.6       2.0                   0.0                 0.0		
	6907        32002         81            0              0.2     0.3     0.6       2.0                   0.0                 0.0		
	6907        32002         82            0              0.2     0.3     0.6       2.0                   0.0                 0.0		
	6907        32002         90            0              0.2     0.3     0.6       2.0                   0.0                 0.0		
	6907        32002         144            0             0.2     0.3     0.6       2.0                   0.0                 0.0		
	6907        32002         145            0             0.2     0.3     0.6       2.0                   0.0                 0.0		
	6907        32002         146            0             0.2     0.3     0.6       2.0                   0.0                 0.0		
	6907        32002         155            0             0.2     0.3     0.6       2.0                   0.0                 0.0		
	6907        32002         155            0             0.2     0.3     0.6       0.8                   0.0                 0.0		
	6907        32002         154            0             0.2     0.3     0.6       0.8                   0.0                 0.0		
	6907        32229         48            0              0.5     0.5     0.5       1.15                   0.0                 0.0		
	6907        32229         67            0              0.5     0.5     0.5       1.15                   0.0                 0.0		
	6907        32229         112            0             0.5     0.5     0.5       1.15                   0.0                 0.0		
	6907        32229         131            0             0.5     0.5     0.5       1.15                   0.0                 0.0			
	6907        32229         50            0              0.5     0.5     0.5       1.15                   0.0                 0.0		
	6907        32229         53            0              0.5     0.5     0.5       1.15                   0.0                 0.0		
	6907        32229         56            0              0.5     0.5     0.5       1.15                   0.0                 0.0					
	6907        32229         69            0              0.5     0.5     0.5       1.15                   0.0                 0.0		
	6907        32229         72            0              0.5     0.5     0.5       1.15                   0.0                 0.0		
	6907        32229         75            0              0.5     0.5     0.5       1.15                   0.0                 0.0			
	6907        32229         114            0             0.5     0.5     0.5       1.15                   0.0                 0.0		
	6907        32229         117            0             0.5     0.5     0.5       1.15                   0.0                 0.0		
	6907        32229         120            0             0.5     0.5     0.5       1.15                   0.0                 0.0			
	6907        32229         133            0             0.5     0.5     0.5       1.15                   0.0                 0.0		
	6907        32229         136            0             0.5     0.5     0.5       1.15                   0.0                 0.0		
	6907        32229         139            0             0.5     0.5     0.5       1.15                   0.0                 0.0					

//Fierce Lion Rare by Kapocha (fiercelionR.bmd)		
//Static
    6908        32501         41            0              0.8     0.25     1.0       0.125                   0.0                 0.0		
    6908        32002         41            0              0.8     0.25     1.0       0.5                   0.0                 0.0			
    6908        32501         42            0              0.8     0.25     1.0       0.125                   0.0                 0.0		
    6908        32002         42            0              0.8     0.25     1.0       0.5                   0.0                 0.0		
    6908        32002         40            0              1.0     0.8     0.4       3.25                   0.0                 0.0			
	6908        32002         43            0              1.0     0.8     0.4       3.25                   0.0                 0.0			
	6908        32002         44            0              1.0     0.8     0.4       3.25                   0.0                 0.0			
	6908        32002         105            0              1.0     0.8     0.4       3.25                   0.0                 0.0			
	6908        32002         107            0              1.0     0.8     0.4       3.25                   0.0                 0.0			
	6908        32002         108            0              1.0     0.8     0.4       3.25                   0.0                 0.0			
	6908        32002         148            0              1.0     0.8     0.4       3.25                   0.0                 0.0			
	6908        32002         156            0              1.0     0.8     0.4       3.25                   0.0                 0.0			
	6908        32002         157            0              1.0     0.8     0.4       3.25                   0.0                 0.0					
	6908        32002         58            0              1.0     0.8     0.4       2.0                   0.0                 0.0			
	6908        32002         62            0              1.0     0.8     0.4       2.0                   0.0                 0.0		
	6908        32002         63            0              1.0     0.8     0.4       2.0                   0.0                 0.0		
	6908        32002         89            0              1.0     0.8     0.4       2.0                   0.0                 0.0		
	6908        32002         125            0              1.0     0.8     0.4       2.0                   0.0                 0.0	
	6908        32002         126            0              1.0     0.8     0.4       2.0                   0.0                 0.0	
	6908        32002         127            0              1.0     0.8     0.4       2.0                   0.0                 0.0			
	6908        32002         91            0              1.0     0.8     0.4       2.0                   0.0                 0.0		
	6908        32002         106            0              1.0     0.8     0.4       2.0                   0.0                 0.0		
	6908        32002         77            0              1.0     0.8     0.4       2.0                   0.0                 0.0		
	6908        32002         81            0              1.0     0.8     0.4       2.0                   0.0                 0.0		
	6908        32002         82            0              1.0     0.8     0.4       2.0                   0.0                 0.0		
	6908        32002         90            0              1.0     0.8     0.4       2.0                   0.0                 0.0		
	6908        32002         144            0              1.0     0.8     0.4       2.0                   0.0                 0.0		
	6908        32002         145            0              1.0     0.8     0.4       2.0                   0.0                 0.0		
	6908        32002         146            0              1.0     0.8     0.4       2.0                   0.0                 0.0		
	6908        32002         155            0              1.0     0.8     0.4       2.0                   0.0                 0.0		
	6908        32002         155            0              1.0     0.8     0.4       0.8                   0.0                 0.0		
	6908        32002         154            0              1.0     0.8     0.4       0.8                   0.0                 0.0		
	6908        32431         48            0              0.5     0.5     0.5       1.15                   0.0                 0.0		
	6908        32431         67            0              0.5     0.5     0.5       1.15                   0.0                 0.0		
	6908        32431         112            0             0.5     0.5     0.5       1.15                   0.0                 0.0		
	6908        32431         131            0             0.5     0.5     0.5       1.15                   0.0                 0.0			
	6908        32431         50            0              0.5     0.5     0.5       1.15                   0.0                 0.0		
	6908        32431         53            0              0.5     0.5     0.5       1.15                   0.0                 0.0		
	6908        32431         56            0              0.5     0.5     0.5       1.15                   0.0                 0.0					
	6908        32431         69            0              0.5     0.5     0.5       1.15                   0.0                 0.0		
	6908        32431         72            0              0.5     0.5     0.5       1.15                   0.0                 0.0		
	6908        32431         75            0              0.5     0.5     0.5       1.15                   0.0                 0.0			
	6908        32431         114            0             0.5     0.5     0.5       1.15                   0.0                 0.0		
	6908        32431         117            0             0.5     0.5     0.5       1.15                   0.0                 0.0		
	6908        32431         120            0             0.5     0.5     0.5       1.15                   0.0                 0.0			
	6908        32431         133            0             0.5     0.5     0.5       1.15                   0.0                 0.0		
	6908        32431         136            0             0.5     0.5     0.5       1.15                   0.0                 0.0		
	6908        32431         139            0             0.5     0.5     0.5       1.15                   0.0                 0.0						
end
