//index text 
53 "Soy El Golden Monster, estás muerto"
54 "Soy  El Golden Monster, estás muerto"
55 "¡¡Estás loco!! Me atacas"
56 "¡¡Estás loco!! Me atacas"
57 "¡¡Estás loco!! Me atacas"
58 "¡¡Estás loco!! Me atacas"
59 "¡¡Estás loco!! Me atacas"
60 "¡¡Estás loco!! Me atacas"
61 "¡¡Estás loco!! Me atacas"
62 "¡¡Estás loco!! Me atacas"
63 "La próxima vez no nos acercamos"
64 "La próxima vez no nos acercamos"
65 "La próxima vez no nos acercamos"
66 "La próxima vez no nos acercamos"
67 "La próxima vez no nos acercamos"
68 "La próxima vez no nos acercamos"
69 "La próxima vez no nos acercamos"
70 "La próxima vez no nos acercamos"
71 "La próxima vez no nos acercamos"
72 "La próxima vez no nos acercamos"
73 "La próxima vez no nos acercamos"
74 "La próxima vez no nos acercamos"
75 "La próxima vez no nos acercamos"
76 "La próxima vez no nos acercamos"
77 "La próxima vez no nos acercamos"
78 "Soy El Golden Monster, estás muerto"
79 "Soy El Golden Monster, estás muerto"
80 "Soy El Golden Monster, estás muerto"
81 "Soy El Golden Monster, estás muerto"
82 "Soy El Golden Monster, estás muerto"
83 "Soy El Golden Monster, estás muerto"
84 "Ahora tendrás una lección"
85 "Ahora tendrás una lección"
86 "Ahora tendrás una lección"
87 "Ahora tendrás una lección"
88 "Ahora tendrás una lección"
89 "Ahora tendrás una lección"
90 "Ahora tendrás una lección"
91 "Ahora tendrás una lección"
92 "Ahora tendrás una lección"
93 "Ahora tendrás una lección"
94 "Ahora tendrás una lección"
95 "Ahora tendrás una lección"
96 "Ahora tendrás una lección"
97 "Ahora tendrás una lección"
98 "Ahora tendrás una lección"
99 "Ahora tendrás una lección"
100 "Ahora tendrás una lección"
101 "Ahora tendrás una lección"
102 "Ahora tendrás una lección"
103 "Ahora tendrás una lección"
104 "Ahora tendrás una lección"
105 "Ahora tendrás una lección"
106 "Ahora tendrás una lección"
107 "Ahora tendrás una lección"
108 "Ahora tendrás una lección"
109 "Ahora tendrás una lección"
110 "Ahora tendrás una lección"
111 "Ahora tendrás una lección"
112 "Ahora tendrás una lección"
113 "Ahora tendrás una lección"
114 "Ahora tendrás una lección"
115 "Ahora tendrás una lección"
116 "Ahora tendrás una lección"
117 "Ahora tendrás una lección"
118 "¡¡Eres un novato!!"
119 "¡¡Eres un novato!!"
120 "¡¡Eres un novato!!"
121 "¡¡Eres un novato!!"
122 "¡¡Eres un novato!!"
123 "¡¡Eres un novato!!"
124 "¡¡Eres un novato!!"
125 "¡¡Eres un novato!!"
126 "¡¡Eres un novato!!"
127 "¡¡Eres un novato!!"
128 "¡¡Eres un novato!!"
129 "¡¡Eres un novato!!"
130 "¡¡Eres un novato!!"
131 "¡¡Eres un novato!!"
132 "¡¡Eres un novato!!"
133 "¡¡Eres un novato!!"
134 "¡¡Eres un novato!!"
135 "¡¡Eres un novato!!"
136 "¡¡Eres un novato!!"
137 "¡¡Eres un novato!!"
138 "¡¡Eres un novato!!"
139 "¡¡Eres un novato!!"
140 "¡¡Eres un novato!!"
141 "¡¡Eres un novato!!"
142 "¡¡Eres un novato!!"
143 "¡¡Eres un novato!!"
144 "¡¡Eres un novato!!"
145 "¡¡Eres un novato!!"
146 "¡¡Eres un novato!!"
147 "¡¡Eres un novato!!"
148 "¡¡Eres un novato!!"
149 "¡¡Eres un novato!!"
150 "¡¡Eres un novato!!"
151 "Miss, Miss, vuelva más tarde"
152 "miss, miss, vuelva más tarde"
153 "miss, miss, vuelva más tarde"
154 "miss, miss, vuelva más tarde"
155 "miss, miss, vuelva más tarde"
156 "Señorita, señorita, vuelva más tarde"
157 "Señorita, señorita, vuelva más tarde"
158 "Señorita, señorita, vuelva más tarde"
159 "Señorita, señorita, vuelva más tarde"
160 "Señorita, señorita, vuelva más tarde"
161 "Señorita, señorita, vuelva más tarde"
162 "Señorita, señorita, vuelva más tarde"
163 "Señorita, señorita, vuelva más tarde"
164 "Señorita, señorita, vuelva más tarde"
165 "Señorita, señorita, vuelva más tarde"
166 "Señorita, señorita, vuelva más tarde"
167 "Señorita, señorita, vuelva más tarde"
168 "Señorita, señorita, vuelva más tarde"
169 "Señorita, señorita, vuelva más tarde"
170 "Señorita, señorita, vuelva más tarde"
171 "Señorita, señorita, vuelva más tarde"
172 "Señorita, señorita, vuelva más tarde"
173 "Señorita, señorita, vuelva más tarde"
174 "Señorita, señorita, vuelva más tarde"
175 "Señorita, señorita, vuelva más tarde"
176 "Señorita, señorita, vuelva más tarde"
177 "Señorita, señorita, vuelva más tarde"
178 "Señorita, señorita, vuelva más tarde"
179 "Señorita, señorita, vuelva más tarde"
180 "Señorita, señorita, vuelva más tarde"
181 "Señorita, señorita, vuelva más tarde"
182 "Señorita, señorita, vuelva más tarde"
183 "Señorita, señorita, vuelva más tarde"
184 "Señorita, señorita, vuelva más tarde"
185 "Señorita, señorita, vuelva más tarde"
186 "Señorita, señorita, vuelva más tarde"
187 "Señorita, señorita, vuelva más tarde"
188 "Señorita, señorita, vuelva más tarde"
189 "Señorita, señorita, vuelva más tarde"
190 "Señorita, señorita, vuelva más tarde"
191 "Yo soy el amo y gobernante"
192 "Yo soy el amo y gobernante"
193 "Yo soy el amo y gobernante"
194 "Yo soy el amo y gobernante"
195 "Yo soy el amo y gobernante"
196 "Yo soy el amo y gobernante"
197 "Yo soy el amo y gobernante"
198 "Yo soy el amo y gobernante"
199 "Yo soy el amo y gobernante"
200 "Yo soy el amo y gobernante"
201 "Ahora tendrás una lección"
202 "Ahora tendrás una lección"
203 "Ahora tendrás una lección"
204 "Ahora tendrás una lección"
205 "Ahora tendrás una lección"
206 "Ahora tendrás una lección"
207 "Ahora tendrás una lección"
208 "Ahora tendrás una lección"
209 "Ahora tendrás una lección"
210 "Ahora tendrás una lección"
211 "Ahora tendrás una lección"
212 "Ahora tendrás una lección"
213 "Ahora tendrás una lección"
214 "Ahora tendrás una lección"
215 "Ahora tendrás una lección"
216 "Ahora tendrás una lección"
217 "Ahora tendrás una lección"
218 "¡¡Eres un novato!!"
219 "¡¡Eres un novato!!"
220 "¡¡Eres un novato!!"
221 "¡¡Eres un novato!!"
222 "¡¡Eres un novato!!"
223 "¡¡Eres un novato!!"
224 "¡¡Eres un novato!!"
225 "¡¡Eres un novato!!"
226 "¡¡Eres un novato!!"
227 "¡¡Eres un novato!!"
228 "¡¡Eres un novato!!"
229 "¡¡Eres un novato!!"
230 "¡¡Eres un novato!!"
231 "¡¡Eres un novato!!"
232 "¡¡Eres un novato!!"
233 "¡¡Eres un novato!!"
234 "¡¡Eres un novato!!"
235 "¡¡Eres un novato!!"
236 "¡¡Eres un novato!!"
237 "¡¡Eres un novato!!"
238 "¡¡Eres un novato!!"
239 "¡¡Eres un novato!!"
240 "¡¡Eres un novato!!"
241 "¡¡Eres un novato!!"
242 "¡¡Eres un novato!!"
243 "¡¡Eres un novato!!"
244 "¡¡Eres un novato!!"
245 "¡¡Eres un novato!!"
246 "¡¡Eres un novato!!"
247 "¡¡Eres un novato!!"
248 "¡¡Eres un novato!!"
249 "¡¡Eres un novato!!"
250 "¡¡Eres un novato!!"
251 "Señorita, señorita, vuelva más tarde"
252 "Señorita, señorita, vuelva más tarde"
253 "Señorita, señorita, vuelva más tarde"
254 "Señorita, señorita, vuelva más tarde"
255 "Señorita, señorita, vuelva más tarde"
256 "Señorita, señorita, vuelva más tarde"
257 "Señorita, señorita, vuelva más tarde"
258 "Señorita, señorita, vuelva más tarde"
259 "Señorita, señorita, vuelva más tarde"
260 "Señorita, señorita, vuelva más tarde"
261 "Señorita, señorita, vuelva más tarde"
262 "Señorita, señorita, vuelva más tarde"
263 "Señorita, señorita, vuelva más tarde"
264 "Señorita, señorita, vuelva más tarde"
265 "Señorita, señorita, vuelva más tarde"
266 "Señorita, señorita, vuelva más tarde"
267 "Señorita, señorita, vuelva más tarde"
268 "Señorita, señorita, vuelva más tarde"
269 "Señorita, señorita, vuelva más tarde"
270 "Señorita, señorita, vuelva más tarde"
271 "Señorita, señorita, vuelva más tarde"
272 "Señorita, señorita, vuelva más tarde"
273 "Señorita, señorita, vuelva más tarde"
274 "Señorita, señorita, vuelva más tarde"
275 "Señorita, señorita, vuelva más tarde"
276 "Señorita, señorita, vuelva más tarde"
277 "Señorita, señorita, vuelva más tarde"
278 "Señorita, señorita, vuelva más tarde"
279 "Señorita, señorita, vuelva más tarde"
280 "Señorita, señorita, vuelva más tarde"
281 "Señorita, señorita, vuelva más tarde"
282 "Señorita, señorita, vuelva más tarde"
283 "Señorita, señorita, vuelva más tarde"
284 "Señorita, señorita, vuelva más tarde"
285 "Señorita, señorita, vuelva más tarde"
286 "Señorita, señorita, vuelva más tarde"
287 "Señorita, señorita, vuelva más tarde"
288 "Señorita, señorita, vuelva más tarde"
289 "Señorita, señorita, vuelva más tarde"
290 "Señorita, señorita, vuelva más tarde"
291 "Yo soy el amo y gobernante"
292 "Yo soy el amo y gobernante"
293 "Yo soy el amo y gobernante"
294 "Yo soy el amo y gobernante"
295 "Yo soy el amo y gobernante"
296 "Yo soy el amo y gobernante"
297 "Yo soy el amo y gobernante"
298 "Yo soy el amo y gobernante"
299 "Yo soy el amo y gobernante"
300 "Yo soy el amo y gobernante"
301 "Hola, soy un monstruo muy fuerte"
302 "Hihihih, soy un monstruo muy fuerte"
303 "Hihihih, soy un monstruo muy fuerte"
304 "Hihihih, soy un monstruo muy fuerte"
305 "Hihihih, soy un monstruo muy fuerte"
306 "Hihihih, soy un monstruo muy fuerte"
307 "Hihihih, soy un monstruo muy fuerte"
308 "Hihihih, soy un monstruo muy fuerte"
309 "Hihihih, soy un monstruo muy fuerte"
310 "Hihihih, soy un monstruo muy fuerte"
311 "Hihihih, soy un monstruo muy fuerte"
312 "Hihihih, soy un monstruo muy fuerte"
313 "Hihihih, soy un monstruo muy fuerte"
314 "Hihihih, soy un monstruo muy fuerte"
315 "Hihihih, soy un monstruo muy fuerte"
316 "Hihihih, soy un monstruo muy fuerte"
317 "Hihihih, soy un monstruo muy fuerte"
318 "Hihihih, soy un monstruo muy fuerte"
320 "Hihihih, soy un monstruo muy fuerte"
321 "Hihihih, soy un monstruo muy fuerte"
322 "Hihihih, soy un monstruo muy fuerte"
323 "Hihihih, soy un monstruo muy fuerte"
324 "Hihihih, soy un monstruo muy fuerte"
325 "Hihihih, soy un monstruo muy fuerte"
326 "Hihihih, soy un monstruo muy fuerte"
327 "Hihihih, soy un monstruo muy fuerte"
328 "Hihihih, soy un monstruo muy fuerte"
329 "Hihihih, soy un monstruo muy fuerte"
330 "Hihihih, soy un monstruo muy fuerte"
331 "Hihihih, soy un monstruo muy fuerte"
332 "Hihihih, soy un monstruo muy fuerte"
333 "Hihihih, soy un monstruo muy fuerte"
334 "¿¡Estás loco! Me atacas"
335 "¿¡Estás loco! Me atacas"
336 "¿¡Estás loco! Me atacas"
337 "¡¡Estás loco!! Me atacas"
338 "¿¡Estás loco! Me atacas"
339 "¡¡Estás loco!! Me atacas"
340 "¡¡Estás loco!! Me atacas"
341 "¡¡Estás loco!! Me atacas"
342 "¡¡Estás loco!! Me atacas"
343 "Soy Golden Moster, estás muerto"
344 "¿¡Estás loco! Me atacas"
345 "¡¡Estás loco!! Me atacas"
346 "¡¡Estás loco!! Me atacas"
347 "¡¡Estás loco!! Me atacas"
348 "¡¡Estás loco!! Me atacas"
349 "¡¡Estás loco!! Me atacas"
350 "¿¡Estás loco! Me atacas"
351 "¡¡Estás loco!! Me atacas"
352 "¡¡Estás loco!! Me atacas"
353 "Soy Golden Moster, estás muerto"
354 "Soy Golden Moster, estás muerto"
355 "¿¡Estás loco! Me atacas"
356 "¡¡Estás loco!! Me atacas"
357 "¿¡Estás loco! Me atacas"
358 "¡¡Estás loco!! Me atacas"
359 "¡¡Estás loco!! Me atacas"
360 "¿¡Estás loco! Me atacas"
361 "¡¡Estás loco!! Me atacas"
362 "¿¡Estás loco! Me atacas"
363 "La próxima vez no nos acercamos"
364 "La próxima vez no nos acercamos"
365 "La próxima vez no nos acercamos"
366 "La próxima vez no nos acercamos"
367 "La próxima vez no nos acercamos"
368 "La próxima vez no nos acercamos"
369 "La próxima vez no nos acercamos"
370 "La próxima vez no nos acercamos"
371 "La próxima vez no nos acercamos"
372 "La próxima vez no nos acercamos"
373 "La próxima vez no nos acercamos"
374 "La próxima vez no nos acercamos"
375 "La próxima vez no nos acercamos"
376 "La próxima vez no nos acercamos"
377 "La próxima vez no nos acercamos"
378 "Soy Golden Moster, estás muerto"
379 "Soy Golden Moster, estás muerto"
380 "Soy Golden Moster, estás muerto"
381 "Soy Golden Moster, estás muerto"
382 "Soy Golden Moster, estás muerto"
383 "Soy Golden Moster, estás muerto"
384 "Ahora tendrás una lección"
385 "Ahora tendrás una lección"
386 "Ahora tendrás una lección"
387 "Ahora tendrás una lección"
388 "Ahora tendrás una lección"
389 "Ahora tendrás una lección"
390 "Ahora tendrás una lección"
391 "Ahora tendrás una lección"
392 "Ahora tendrás una lección"
393 "Ahora tendrás una lección"
394 "Ahora tendrás una lección"
395 "Ahora tendrás una lección"
396 "Ahora tendrás una lección"
397 "Ahora tendrás una lección"
398 "Ahora tendrás una lección"
399 "Ahora tendrás una lección"
400 "Ahora tendrás una lección"
401 "Ahora tendrás una lección"
402 "Ahora tendrás una lección"
403 "Ahora tendrás una lección"
404 "Ahora tendrás una lección"
405 "Ahora tendrás una lección"
406 "Ahora tendrás una lección"
407 "Ahora tendrás una lección"
408 "Ahora tendrás una lección"
409 "Ahora tendrás una lección"
410 "Ahora tendrás una lección"
411 "Ahora tendrás una lección"
412 "Ahora tendrás una lección"
413 "Ahora tendrás una lección"
414 "Ahora tendrás una lección"
415 "Ahora tendrás una lección"
416 "Ahora tendrás una lección"
417 "Ahora tendrás una lección"
418 "¡¡Eres un novato!!"
419 "¡¡Eres un novato!!"
420 "¡¡Eres un novato!!"
421 "¡¡Eres un novato!!"
422 "¡¡Eres un novato!!"
423 "¡¡Eres un novato!!"
424 "¡¡Eres un novato!!"
425 "¡¡Eres un novato!!"
426 "¡¡Eres un novato!!"
427 "¡¡Eres un novato!!"
428 "¡¡Eres un novato!!"
429 "¡¡Eres un novato!!"
430 "¡¡Eres un novato!!"
431 "¡¡Eres un novato!!"
432 "¡¡Eres un novato!!"
433 "¡¡Eres un novato!!"
434 "¡¡Eres un novato!!"
435 "¡¡Eres un novato!!"
436 "¡¡Eres un novato!!"
437 "¡¡Eres un novato!!"
438 "¡¡Eres un novato!!"
439 "¡¡Eres un novato!!"
440 "¡¡Eres un novato!!"
441 "¡¡Eres un novato!!"
442 "¡¡Eres un novato!!"
443 "¡¡Eres un novato!!"
444 "¡¡Eres un novato!!"
445 "¡¡Eres un novato!!"
446 "¡¡Eres un novato!!"
447 "¡¡Eres un novato!!"
448 "¡¡Eres un novato!!"
449 "¡¡Eres un novato!!"
450 "¡¡Eres un novato!!"
451 "Señorita, señorita, vuelva más tarde"
452 "Señorita, señorita, vuelva más tarde"
453 "Señorita, señorita, vuelva más tarde"
454 "Señorita, señorita, vuelva más tarde"
455 "Señorita, señorita, vuelva más tarde"
456 "Señorita, señorita, vuelva más tarde"
457 "Señorita, señorita, vuelva más tarde"
458 "Señorita, señorita, vuelva más tarde"
459 "Señorita, señorita, vuelva más tarde"
460 "Señorita, señorita, vuelva más tarde"
461 "Señorita, señorita, vuelva más tarde"
462 "Señorita, señorita, vuelva más tarde"
463 "Señorita, señorita, vuelva más tarde"
464 "Señorita, señorita, vuelva más tarde"
465 "Señorita, señorita, vuelva más tarde"
466 "Señorita, señorita, vuelva más tarde"
467 "Señorita, señorita, vuelva más tarde"
468 "Señorita, señorita, vuelva más tarde"
469 "Señorita, señorita, vuelva más tarde"
470 "Señorita, señorita, vuelva más tarde"
471 "Señorita, señorita, vuelva más tarde"
472 "Señorita, señorita, vuelva más tarde"
473 "Señorita, señorita, vuelva más tarde"
474 "Señorita, señorita, vuelva más tarde"
475 "Señorita, señorita, vuelva más tarde"
476 "Señorita, señorita, vuelva más tarde"
477 "Señorita, señorita, vuelva más tarde"
478 "Señorita, señorita, vuelva más tarde"
479 "Señorita, señorita, vuelva más tarde"
480 "Señorita, señorita, vuelva más tarde"
481 "Señorita, señorita, vuelva más tarde"
482 "Señorita, señorita, vuelva más tarde"
483 "Señorita, señorita, vuelva más tarde"
484 "Señorita, señorita, vuelva más tarde"
485 "Señorita, señorita, vuelva más tarde"
486 "Señorita, señorita, vuelva más tarde"
487 "Señorita, señorita, vuelva más tarde"
488 "Señorita, señorita, vuelva más tarde"
489 "Señorita, señorita, vuelva más tarde"
490 "Señorita, señorita, vuelva más tarde"
491 "Yo soy el amo y gobernante"
492 "Yo soy el amo y gobernante"
493 "Yo soy el amo y gobernante"
494 "Yo soy el amo y gobernante"
495 "Yo soy el amo y gobernante"
496 "Yo soy el amo y gobernante"
497 "Yo soy el amo y gobernante"
498 "Yo soy el amo y gobernante"
499 "Yo soy el amo y gobernante"
500 "Yo soy el amo y gobernante"
501 "Hihihih, soy un monstruo muy fuerte"
502 "Hihihih, soy un monstruo muy fuerte"
503 "Hihihih, soy un monstruo muy fuerte"
504 "Hihihih, soy un monstruo muy fuerte"
505 "Hihihih, soy un monstruo muy fuerte"
506 "Hihihih, soy un monstruo muy fuerte"
507 "Hihihih, soy un monstruo muy fuerte"
508 "Hihihih, soy un monstruo muy fuerte"
509 "Hihihih, soy un monstruo muy fuerte"
510 "Hihihih, soy un monstruo muy fuerte"
511 "Hihihih, soy un monstruo muy fuerte"
512 "Hihihih, soy un monstruo muy fuerte"
513 "Hihihih, soy un monstruo muy fuerte"
514 "Hihihih, soy un monstruo muy fuerte"
515 "Hihihih, soy un monstruo muy fuerte"
516 "Hihihih, soy un monstruo muy fuerte"
517 "Hihihih, soy un monstruo muy fuerte"
518 "Hihihih, soy un monstruo muy fuerte"
520 "Hihihih, soy un monstruo muy fuerte"
521 "Hihihih, soy un monstruo muy fuerte"
522 "Hihihih, soy un monstruo muy fuerte"
523 "Hihihih, soy un monstruo muy fuerte"
524 "Hihihih, soy un monstruo muy fuerte"
525 "Hihihih, soy un monstruo muy fuerte"
526 "Hihihih, soy un monstruo muy fuerte"
527 "Hihihih, soy un monstruo muy fuerte"
528 "Hihihih, soy un monstruo muy fuerte"
529 "Hihihih, soy un monstruo muy fuerte"
530 "Hihihih, soy un monstruo muy fuerte"
531 "Hihihih, soy un monstruo muy fuerte"
532 "Hihihih, soy un monstruo muy fuerte"
533 "Hihihih, soy un monstruo muy fuerte"
534 "¡¡Estás loco!! Me atacas"
535 "¿¡Estás loco! Me atacas"
536 "¡¡Estás loco!! Me atacas"
537 "¿¡Estás loco! Me atacas"
538 "¡¡Estás loco!! Me atacas"
539 "¡¡Estás loco!! Me atacas"
540 "¿¡Estás loco! Me atacas"
541 "¡¡Estás loco!! Me atacas"
542 "¡¡Estás loco!! Me atacas"
543 "Soy El Golden Monster, estás muerto"
544 "¡¡Estás loco!! Me atacas"
545 "¿¡Estás loco! Me atacas"
546 "¡¡Estás loco!! Me atacas"
547 "¿¡Estás loco! Me atacas"
548 "¿¡Estás loco! Me atacas"
549 "¿¡Estás loco! Me atacas"
550 "¡¡Estás loco!! Me atacas"
551 "¡¡Estás loco!! Me atacas"
552 "¡¡Estás loco!! Me atacas"
553 "Soy El Golden Monster, estás muerto"
554 "Soy El Golden Monster, estás muerto"
555 "¿¡Estás loco! Me atacas"
556 "¡¡Estás loco!! Me atacas"
557 "¡¡Estás loco!! Me atacas"
558 "¡¡Estás loco!! Me atacas"
559 "¡¡Estás loco!! Me atacas"
560 "¿¡Estás loco! Me atacas"
561 "¡¡Estás loco!! Me atacas"
562 "¡¡Estás loco!! Me atacas"
563 "La próxima vez no nos acercamos"
564 "La próxima vez no nos acercamos"
565 "La próxima vez no nos acercamos"
566 "La próxima vez no nos acercamos"
567 "La próxima vez no nos acercamos"
568 "La próxima vez no nos acercamos"
569 "La próxima vez no nos acercamos"
570 "La próxima vez no nos acercamos"
571 "La próxima vez no nos acercamos"
572 "La próxima vez no nos acercamos"
573 "La próxima vez no nos acercamos"
574 "La próxima vez no nos acercamos"
575 "La próxima vez no nos acercamos"
576 "La próxima vez no nos acercamos"
577 "La próxima vez no nos acercamos"
578 "Soy El Golden Monster, estás muerto"
579 "Soy El Golden Monster, estás muerto"
end 
