//Index   Message
134  "Solo puede restablecer el maestro %d veces al mes"
135  "No tienes permitido usar/ocultar"
144  "Plaza del Diablo cerrará en %d minuto(s)"
145  "Plaza del Diablo cerrada"
146  "Devil Square %d comenzará en %d minuto(s)"
147  "Empezó la Plaza del Diablo"
148  "La Plaza del Diablo ha terminado"
149  "No eres lo suficientemente fuerte para entrar en Devil Square"
160  "El jugador objetivo no está en línea"
161  "No puedes batirte en duelo por el momento"
162  "El jugador objetivo rechazó automáticamente su solicitud de duelo"
163  "¿Alguna vez has pedido o te han pedido un duelo?"
164  "El jugador objetivo ya ha pedido o se le ha pedido un duelo"
165  "No puedes batirte en duelo mientras estás en Guild War"
166  "El jugador objetivo no puede batirse en duelo en Guild War"
167  "No puedes batirte en duelo en este mapa"
168  "No puedes batirte en duelo durante Castle Siege"
169  "El nombre del jugador objetivo no es válido"
170  "No se puede batir en duelo con defensa personal"
171  "El jugador objetivo no puede batirse en duelo con Defensa Personal"
172  "El jugador objetivo rechazó su solicitud de duelo"
173  "Todas las arenas están llenas en este momento"                                                           
174  "¡Comenzó el duelo entre %s y %s!"
175  "¡%s jugador ganó %s en duelo!"
176  "Illusion Temple cerrará en %d minuto(s)"
177  "El Templo de la Ilusión cerrado"
178  "El templo de la ilusión %d comenzará en %d minuto(s)"
179  "El Templo de la Ilusión comenzó"
180  "El Templo de la Ilusión ha terminado"
181  "No eres lo suficientemente fuerte para entrar en el Templo de la Ilusión"
182  "No tienes el ítem necesario para entrar al Templo de la Ilusión"
183   "%s jugador soltó artefacto"
184  "%s jugador recogió el artefacto"
192  "¡Apareció el Rey Esqueleto, derrótalo!"
193  "¡Apareció el Dragón Rojo, derrótalo!"
194  "Aparecieron los Monstruos Dorados, derrótalos"
195  "¡Apareció el Mago Blanco, derrótalo!"
196  "¡El Kundun apareció en Kalima, derrótalo!"
197  "¡El Erohim apareció , derrótalo!"
198  "¡Apareció la Erohim , derrótalo!"
199  "¡Apareció el Santa Malvado, derrótalo!"
200  "¡Apareció Medusa, derrótalo!"
201   "¡%s jugador derrotó al santa malvado!"
202  "¡%s jugador derrotó al Rey Esqueleto!"
203  "¡%s jugador derrotó al Dragón Rojo!"
204  "¡El jugador %s derrotó al Gran Dragón Dorado!"
205  "¡%s jugador derrotó al Mago Blanco!"
206  "¡%s jugador derrotó al Kundun!"
207  "¡%s jugador derrotó al Erohim!"
208  "¡Ha aparecido el mercader de moss!"
209  "¡El mercader de moss se ha ido!"
210  "¡La invasión de la Invocación de los Demonios ha comenzado!"
211  "¡La invasión del evento de los huevos ha comenzado!"
224  "Necesitas tener al menos el nivel %d para moverte"
225  "Necesitas tener al menos %d zen para moverte"
226  "No puedes moverte en este momento"
227  "Los asesinos no pueden moverse"
228  "No tienes el equipo adecuado para moverte"
229  "Solo pueden circular los miembros de una de las familias de la gens"
230  "Necesitas estar al máximo nivel %d para moverte"
231  "Debes tener al menos %d reinicios para moverte"
232  "Debes tener como máximo %d reinicios para moverte"
240  "Senior no está activo actualmente"                                                                     
241  "El Senior no funciona durante Castle Siege"
242  "Necesitas estar en el gremio dueño del castillo para usar el Senior"
243  "Tienes que ser el dueño del gremio para usar el Senior"
244  "El guardia no funciona durante Castle Siege"
245  "Ya estás en un gremio"
246  "No tienes suficiente nivel para crear un gremio"
247  "La tienda está vacía"
248  "Nivel de cuenta: Gratis"
249  "Nivel de cuenta: Vip (%s)"
250  "Nivel de cuenta: Plata (%s)"
251  "Nivel de cuenta: Oro (%s)"
256  "¡Bienvenido %s servidor Vicius-Mu!"
257  "Necesitas tener al menos el nivel 40 para usar el anillo"
258  "Necesitas tener al menos el nivel 80 para usar el anillo"
259  "No puedes moverte a este mapa en este momento"
260  "No puedes recoger este artículo ahora mismo"
261  "No puedes salir del juego con Comercio abierto"
262  "No puedes salir del juego con el Cofre abierto"
263  "No puedes dejar el juego con Chaos Machine abierto"
264  "No puedes salir del juego con el Entrenador abierto"
265  "No puedes abandonar el juego mientras estás en Defensa Personal"
266  "Estás al más alto nivel"
267  "Estás en el máximo nivel de maestro"
268  "Solo puedes agregar %d puntos"
269 ?? "No puedes hablar por %d segundos"
270  "No puedes enviarte un mensaje a ti mismo"
271  "Hola, soy el guardián alegre"
272  "No se pudo realizar la teletransportación"
273  "Serás teletransportado en %d segundo(s)"
274  "No puedes moverte a este mapa con la montura"
275  "No puedes moverte a este mapa sin un ala"
276  "Regalo de CashShop"
304  "¡Apareció el caminante de hielo!"
305  "No eres lo suficientemente fuerte para entrar en Double Goer"
306  "¡El Caminante de Hielo fue derrotado!"
320  " ¡Ha aparecido el Selupan! La puerta de la incubadora se cerrará en %d minuto(s)"
321  "La compuerta de la incubadora se cerró"
322  "¡%s jugador derrotó a Selupan!"
323  "La compuerta de la incubadora se abrirá de nuevo en %d minuto(s)"
324  "¡La puerta de la incubadora se abrió!"
325  "La compuerta de la incubadora está cerrada"                                                       
336  "La Torre de Refinamiento cerrará en 60 minuto(s)"
337  "La Torre de Refinamiento cerrará en 20 minuto(s)"
338  "La Puerta de Kanturu se abrirá en 1 minuto(s)"
339  "La batalla contra Maya comenzará pronto, prepárate"
340  "La próxima batalla comenzará en 1 minuto (s)"
341  "¡Apareció Nightmare! Derrótalo para liberar la Torre del Refinamiento"
342  "¡La Pesadilla fue derrotada! La Torre de Refinamiento fue liberada"
343  "Se acabó el tiempo, serás eliminado del evento"
352  "Castle Deep comenzará en 5 minuto (s)"
353  "El Castle Deep comenzó"
354  "Castle Deep ha terminado"
355  "Erohim fue asesinado por el jugador %s"
356  "%s fue asesinado por el jugador %s"
368  "Balgass ha unido fuerzas con la armada de Kundun y se prepara para atacar la fortaleza de Crywolf"
369  "La armada Balgass está lista para atacar la fortaleza de Crywolf"
370  "La Marina Balgass marcha hacia la fortaleza de Crywolf"
371  "La Marina Balgass se acerca a la fortaleza de Crywolf"
372  "Ningún Elfo conectado a los altares, dejando la estatua del lobo protegido"
373  "Balgass estará vivo hasta el final de la batalla"
374  "¡La defensa falló! La estatua del lobo sagrado fue tomada por Balgass"
375  "¡La defensa fue exitosa! La estatua del lobo sagrado fue protegida"
376  "El período de conexión con Wolf Altars comenzará en %d segundo(s)"
377  "El periodo de conexión con los Wolf Altares comenzará en %d minuto(s)"
378  "La armada de Balgass atacará en %d segundos (s)"
379  "La armada de Balgass atacará en %d minutos (s)"
380  "Sin la protección de los Elfos la estatua del lobo sagrado estaba desprotegida"
381  "¡Balgass se acerca! Protege la estatua del lobo sagrado"
382  "El ejército de Balgass comenzó a atacar la estatua del lobo sagrado"
383  "El ejército de Balgass fue derrotado con la ayuda de los héroes"
384  "Clasificación de Jugador Más Valioso: %d"
385  "Experiencia de Jugador Más Valioso: %d"                                                                  
386  "¡Balgass fue asesinado por %s!"
387  "¡Balgass fue asesinado!"
388  "¡El elfo oscuro %d fue asesinado por %s!"
389  "Punto de Jugador Más Valioso: %d"
390  "Conectado al altar %d"
391  "%s conectado al altar %d"
392  "El altar %d fue conectado"
393  "El período de conexión al pedestal %d aún no ha comenzado"
394  "El altar %d ya ha sido conectado más de 2 veces"
395  "La posición para conectarse al altar %d es incorrecta"
396  "%s está intentando conectarse al altar %d"
397  "Estarás conectado al altar en 5 segundo(s)"
398  "No mover hasta que se complete la conexión"
399  "La conexión al altar %d ha sido cancelada"
400  "La barrera de la estatua del lobo sagrado ha desaparecido"
401  "Número de conexiones: %d, Vida de la estatua: %d"
402  "Se creó la barrera de la estatua del lobo sagrado"
403  "La conexión requiere un nivel Elfa 260 o superior"
416  "El asedio al castillo ha terminado"
417  "Comenzó el período de registro de Castle Siege"
418  "Comenzó el período de registro de la insignia Castle Siege"
419  "Comenzó el período de selección para los gremios de Castle Siege"
420  "Se completó la selección del gremio de Castle Siege"
421  "Comenzó el período de preparación para Castle Siege"
422  "Castle Siege comenzará en %d minuto (s)"
423  "Se está jugando Castle Siege"
424  "El gremio %s tuvo mucho éxito en la defensa del castillo"
425  "El gremio %s se ha convertido en el nuevo dueño del castillo"
426  "No se definió el dueño del castillo"
427  "Solo queda la Estatua del Guardián"
432  "La posición del jugador de %s cambió a Asistente de líder de gremio"
433  "La posición del jugador %s cambió a Battle Master"
434  "La posición del jugador %s cambió a miembro del gremio"
435  "El tipo de gremio %s ha sido cambiado a %d"
436  "El gremio se ha unido a la alianza %s"
437  "El gremio ahora es enemigo del gremio %s"
438  "%s ha entrado en la alianza."
439  "El gremio se ha retirado del gremio"
440   "El gremio %s ha salido de la alianza %s"
441  "El gremio ya no está en la alianza %s"
442  "El gremio ya no es hostil al gremio %s"
443  "La alianza %s se ha deshecho"                                                 
448     "You can not summon Life Stone out of Castle Siege"                                                  
449     "Only the offensive alliance can invoke Life Stone"                                                  
450     "A Life Stone has already been invoked"                                                              
451     "You can not summon Life Stone inside the Dragon Tower"                                              
452     "Life Stone was invoked successfully"                                                                
453     "Life Stone failed to be invoked"                                                                    
464     "You can not summon the soldier outside of Castle Siege"                                             
465     "Only the defensive alliance can invoke the soldier"                                                 
466     "Only the guild leader and his assistant can summon the soldier"                                     
467     "Maximum number of soldiers exceeded"                                                                
468     "The soldier was successfully summoned"                                                              
469     "The soldier failed to be summoned"                                                                  
480     "The server has closed"                                                                              
481     "The server will automatically close in %d second (s)"                                               
482     "This is a duplicate item, please contact the administrator"                                         
483     "Your chat lock has ended"                                                                           
484     "You will quit the game in %d second (s)"                                                            
485     "Self defense against %s started"                                                                    
486     "Self defense against %s ended"                                                                      
487     "The server will automatically shut down in 1 minute (s)"                                            
488     "The server will shut down automatically in 3 minute (s)"                                            
489     "The server will shut down automatically in 5 minute (s)"                                            
490     "The match will start automatically in 10 second (s)"                                                
491     "%s won %d Jewel of Bless"                                                                          
492     "%s killed Phoenix"                                                                                 
493     "You earned %d event point (s) and %d Golds"                                                         
494     "%s killed a golden one"                                                                            
495     "You earned %d event point (s) and %d Golds"                                                         
496     "%s killed Erohin"                                                                                  
497     "You earned %d event point (s) and %d Golds"                                                         
498     ""                                                                                                   
499     "Remove Errtels before placing"                                                                      
500     "[King of MU] The event began"                                                                       
501     "[MU King] The event ended"                                                                          
502     "[King of MU] Starts at %d minute (s)"                                                               
503     "[King of MU] The guild %s took the castle!"                                                         
504     "[MU King] Begins in %d Second (s)"                                                                  
505     ""                                                                                                   
506     "You are not a member of a guild!"                                                                   
507     "Your guild already owns the castle!"                                                                
508     "You're not in the right coordinate!"                                                                
509     "Your guild should have at least %d members!"                                                        
510     "Congratulations, your guild now owns the castle!"                                                   
511     "[MU King] Ends in %d minute (s)!"                                                                   
512     ""                                                                                                   
513     "Clean inventory successfully!"                                                                      
514     "https//vicius-mu.com"                                                                              
515     "%s killed %s"                                                                                      
516     "%s killed %s"                                                                                      
517     ""                                                                                                   
518     "You are not allowed to use /setvip"                                                                
519     "VIP successfully added!"                                                                            
520     "This account does not exist!"                                                                       
521     "%s You do not need my help anymore"                                                                
522     "%s Your VIP plan does not allow you to use this buff"                                              
523     "%s Zen required: %d"                                                                               
524     "%s PCPoints required: %d"                                                                          
525     "%s You need to be in the Vanert family"                                                            
526     "%s You need to be in the Duprian family"                                                           
527     "%s You need to be in the Duprian family"                                                           
528     "%s You need to be in the Vanert family"                                                            
529     "%s Required family points: %d"                                                                     
530     "%s Time: %d Minutes (s)"                                                                           
531     "%s Removed %d Zen"                                                                                 
532     "%s Removed %d PCPoint (s)"                                                                         
533     "%s Buff Applied!"    
584     "New Year Invasion Has bagun!"  
585     "Invasion of rabbits started!"
586     "Invasion of summer started!"
587     "Christmas invasion has begun!"
588     "Invasion of Medusa began!"     
594     "Player %s defeated Cursed Santa on %s!"
595     "Player %s defeated Medusa on %s!"                                                                               
602     "You can not marry yourself 0.0!"                                                                    
603     "You just got married to %s!"                                                                        
604     "You are already married!"                                                                           
605     "The other character is already married!"                                                            
606     "Usage: [/marry to name | /marry divorce | /marry track or trace]!"                               
607     "You can not divorce in the first week of being married!"                                            
608     "You just got divorced!"                                                                             
609     "You are not married!"                                                                               
610     "You tracked!"                                                                                       
611     "You traced!"                                                                                        
612     "%s just married %s!"                                                                               
613     "%s just divorced %s!"                                                                              
614     "[Marry System] Congragulations,"                                                                    
615     "between %s and %s!"                                                                                 
616     "[Marry System] No hommo allowed"                                                                    
617     "You need at least %d level to use this command!"                                                    
618     "He/she needs at least %d level to use this command!"                                              
619     "Marry system has been disabled!"                                                                    
620     "You need at least %d zen to use this command!"                                                        
621     "You need to stand on the correct position in Devias2!"                                              
622     "Your target needs to stand on the correct position in Devias2!"                                     
623     "Info: [Minimum Level: %d | Track & Trace Cost: %d zen]!"                                            
624     "You can not divorce while he/she is disconnected!"                                                
625     "The other character is disconnected!"                                                               
626     "Skin %d applied to %d players!"                                                                     
627     "%s character is not online!"                                                                       
628     ""                                                                                                   
629     ""                                                                                                   
630     "You must be at level %d to use this command!"                                                       
631     "Allowed to use just inside the city!"                                                               
632     "You and your opponent need to be level d %d to duel!"                                               
633     "Command not enabled for your account!"                                                              
634     "Command: [/classe dw, dk, elf, mg, dl, su]"                                                         
635     "You must choose a different class than yours!"                                                      
636     "You must remove the items from the character first!"                                                
637     "Class not available!"                                                                               
638     "Required resets: %d!"                                                                               
639     "[GameMaster] %s is Online!"                                                                         
640     "%s is Online!"                                                                                     
641     "You are not allowed to use!"                                                                        
642     "Character not found!"                                                                               
643     "Command: [/ reward CHAR TYPE VALUE]"                                                                
644     "Prize type not available!"                                                                          
645     "Value of the prize greater than allowed!"                                                           
646     "Award added successfully!"                                                                          
647     "You can not reward yourself!"                                                                       
648     "Command: [/reload type | Ex: /reload common]"                                                     
649     "Reload executed successfully!"                                                                      
650     "Command: [/premiarall TYPE VALUE]"                                                                 
651     "The name must have a maximum of 10 letters."                                                        
652     "That name already exists."                                                                          
653     "Please wait %d seconds to use again."                                                               
654     "That name already exists!"                                                                          
655     "Name changed successfully!"                                                                         
656     "Name not changed!"                                                                                  
657     "The character %s has changed the name to %s!"                                                       
658     "You must leave the guild to change your name."                                                      
659     "You can not use it now."                                                                            
660     "[SPEED] Started at %s!"                                                                             
661     "[SPEED] Event ends in %d minute (s)!"                                                               
662     "[SPEED] Event ends in %d second (s)!"                                                               
663     "[SPEED] Winner %s!"                                                                                 
664     "[VELOZ] End of the event - No winner!"                                                              
665     "[SPEED] Run for the cord x %d and %d"                                                               
666     "[VELOZ] End of event - Event canceled!"                                                             
667     "Error while banning!"                                                                               
668     "Account banned successfully!"                                                                       
669     "Character banned successfully!"                                                                     
670     "[EVENT] Closes in %d second (s)"                                                                    
671     "[EVENT] Time to attend is over!"                                                                    
672     "[EVENT] Canceled!"                                                                                  
673     "[EVENT] %s started an event!"                                                                       
674     "[EVENT] Enter /participate to enter!"                                                              
675     "[EVENT] Participant %s added!"                                                                      
676     "[ESCESC] Ends at %d second (s)"                                                                     
677     "[ESCESC] It's over without victory!"                                                                
678     "[ESCESC] Canceled!"                                                                                 
679     "[ESCESC] %s started the event!"                                                                     
680     "[ESCESC] Look for the GM and trade!"                                                                
681     "[ESCESC] %s won the event!"                                                                         
682     "[ESCESC] Event ends in %d minute (s)!"                                                              
683     "[PEGAPEGA] Closed!"                                                                                 
684     "[PEGAPEGA] Event started.Run denied!"                                                               
685     "[PEGAPEGA] Time is running out!"                                                                    
686     "[PEGAPEGA] Canceled!"                                                                               
687     "[PEGAPEGA] opened!"                                                                                 
688     "[PEGAPEGA] Enter / want to join!"                                                                   
689     "[PEGAPEGA] Participant %s added!"                                                                   
690     "[PEGAPEGA] %s won the event!"                                                                       
691     "[PEGAPEGA] %s got caught!"                                                                          
692	    "[QUEST %d] You need level %d or +!"
693	    "[QUEST %d] You need %d Reset(s) or +!"
694	    "[QUEST %d] You need %d Master Reset(s) or +!"
695	    "[QUEST %d] You need %d zen or +!"
696	    "[QUEST %d] You need %s (x%d,y%d)!"
697	    "[QUEST %d] You need VIP!"
698	    "[QUEST %d] You need Item: %s!"
699	    "[QUEST %d] You need Kill %d %s (Need More: %d)!"                                                  
700     "Congratulations, you have completed all the quests!"                                        
701     "Done! You have won: %d WC, %d WP, %d GP!"                                                
702     "Congrats you received a gift!"                                                                      
703     "You've already received all your presents!"                                                         
704     "[RoletaRussa] Closed!"                                                                              
705     "[RoletaRussa] Event started!"                                                                       
706     "[RoletaRussa] Time is running out!"                                                                 
707     "[RoletaRussa] Canceled!"                                                                            
708     "[RoletaRussa] Opened (Max Participants: %d)!"                                                       
709     "[RoletaRussa] Enter / want to join!"                                                                
710     "[RoletaRussa] Participant %d: %s added!"                                                            
711     "[RouletteRussa] %s won the event!"                                                                  
712     "[RoletaRussa] Putting the bullet in the drum ...!"                                                  
713     "[RoletaRussa] Turning the drum ...!"                                                                
714     "[RoletaRussa] Engatilhando ...!"                                                                    
715     "[RoletaRussa] FIRE!"                                                                                
716     "[RoletaRussa] HeadShot %s has been deleted!"                                                        
717     "[RouletteRussa] %s escaped unharmed!"                                                               
718     "[King of MU] Delivery of the prizes !!!!"                                                           
719     "[MU King] The Guild %s won the event!"                                                              
720     "[King of the MU] Owner time: %d minute (s)!"                                                        
721     "[MU King] Every member of the online guild won:"                                                    
722     "[King of MU] 10 WC !!!"                                                                             
723     "[King of the MU] Characters that more consquistaram:"                                               
724     "[King of the MU] %d °: %s (Guild: %s)!"                                                             
725     "[King of MU] They won 10 WCs each!"                                                                 
726     "[King of MU] There was no winner!"                                                                  
730     "Added %d WC to your account!"                                                                       
731     "Added %d WP to your account!"                                                                       
732     "Added %d GP to your account!"                                                                       
733     "Command: [/top type class | Ex: /top rr dk]"                                                      
734     "Command: [Class: dk, dw, fe, mg, dl, su]"                                                           
735     "No results!"                                                                                        
736     "%d ° Placed: %s ( %d)"                                                                             
737     "Redistributed Points"                                                                               
738     "%s has reached the %s patent!"                                                                     
739     "You have reached the %s patent!"                                                                    
740     "I was disabled = ("                                                                                 
741     "You must have 64 pieces of the same type in inventory"                                              
742     "Thank you very much, I already picked up the items and delivered your prize."                       
743     "Sorry, I'm not interested in those items."                                                          
744     "You traded your items for prizes!"                                                                  
745     "[%s] Starts in %d minute (s)!"                                                                     
746     "[%s] Question: (Use /resp to reply)"                                                              
747     "[%s] %s"                                                                                           
748     "[%s] %s won the event!"                                                                            
749     "[%s] There was no winner!"                                                                         
750     "[%s] Wrong Answer!"                                                                                
751     "[%s] Response: %s"                                                                                 
752     "[PickUp %s] Enabled!"                                                                               
753     "[PickUp %s] Disabled!"                                                                              
754     "[PickUp] Disabled!"                                                                                 
755     "[ReMaster] MasterSkillTree reset!"                                                                  
756     "[ReMaster] MasterSkillTree error resetting!"                                                        
757     "[BuyVip] You do not have the necessary value to buy!"                                               
758     "[BuyVip] Congratulations, you signed the %s!"                                                       
759     "[BuyVip] The plan chosen is lower than your current plan!"                                          
760     "Discounted %d WC from your account!"                                                                
761     "Discounted %d WP of your account!"                                                                  
762     "Discounted %d GP of your account!"                                                                  
763     "You can not use custom attack with MuHelper active!"                                                
764     "You can not use MuHelper with active custom attack!"                                                
765     "Can not use above level: %d"                                                                        
766     "Value to use: %d WC!"                                                                               
767     "Value to use: %d WP!"                                                                               
768     "Value to use: %d GP!"                                                                               
769     "Team Alliance won the event!"                                                                       
770     "Phanton team won the event!"                                                                        
771     "[OffPvp] Enabled"                                                                                   
772     "[OffPvp] Off"                                                                                       
773     "[Lock] Enabled - Locked items!"                                                                     
774     "[Lock] The password must contain a maximum of 8 characters!"                                        
775     "[Lock] Already activated, use /unlock to unlock!"                                                  
776     "[Lock] Disabled!"                                                                                   
777     "[Lock] Invalid password!"                                                                           
778     "[Lock] Action blocked by password!"                                                                 
779     "You can only activate the command in the safe zone"                                                 
780     "Personal Shop is empty or items are without price"                                                  
781     "ATTENTION !! All items in this store are sold for Jewel of Bless"                                   
782     "ATTENTION !! All items in this store are sold for Jewel of Soul"                                    
783     "ATTENTION !! All items in this store are sold for Jewel of Chaos"                                   
784     "ATTENTION !! All items in this store are sold for WCoinC"                                           
785     "ATTENTION !! All items in this store are sold for WCoinP"                                           
786     "ATTENTION !! All items in this store are sold for Goblin Point"                                     
787     "You need to open the Personal Store before"                                                         
788     "The command will run during %d minute (s)"                                                          
789     "Time spent using / store ended"                                                                     
790     "[Attack] Disabled"                                                                                  
791     "[Attack] You can not use this location"                                                             
792     "[Attack] You do not have the skill needed to use"                                                   
793     "[Attack] Usage time: %d minute (s)"                                                                 
794     "[Attack] Timing"                                                                                    
795     "[Attack] Enabled"                                                                                   
796     "[OffAttack] You must enable / attack before"                                                        
797     "[OffAttack] You can not use this location"                                                          
798     "This Guild does not exist!"                                                                         
799     "[PvP] Time is running out!"                                                                         
800     "[PvP] Canceled!"                                                                                    
801     "[PvP] %s x %s started!"                                                                             
802     "[PvP] %s %d x %d %s!"                                                                               
803     "[PvP] %s won the event!"                                                                            
804     "[PvP] Started!"                                                                                     
805     "[MataMata] Closed!"                                                                                 
806     "[MataMata] Event started!"                                                                          
807     "[MataMata] Time is running out!"                                                                    
808     "[MataMata] Canceled!"                                                                               
809     "[MataMata] opened (Max Participants: %d)!"                                                          
810     "[MataMata] Type /want to join!"                                                                    
811     "[MataMata] Player %d: %s added!"                                                                    
812     "[MataMata] 1st - %s ( %d points)!"                                                                  
813     "[MataMata] 2nd - %s ( %d points)!"                                                                  
814     "[MataMata] 3rd - %s ( %d points)!"                                                                  
815     "[MataMata] Your position: %do ( %d points)!"                                                        
816     "[MataMata] Score: %d points!"                                                                       
817     "New name contains text not allowed!"                                                                
818     "Required: %d master reset (s)."                                                                     
819     "Not allowed with %d master or +"                                                                    
820     "Command: [/pack (soul, bless, etc) (10,20,30)]"                                                    
821     "Command: [/unpack (soul, bless, etc) (10,20,30)]"                                                  
822     "You do not have the required item (s)."                                                             
823     "Command completed successfully."                                                                    
824     "You do not have room in the inventory."                                                             
825     "[TvTEvent] closes in %d minute (s)"                                                                 
826     "Entry for Event Team vs Team"                                                                       
827     "[TvTEvent] closed!"                                                                                 
828     "[TvTEvent] starts in %d minute (s)"                                                                 
829     "[TvTEvent] started!"                                                                                
830     "[TvTEvent] is over!"                                                                                
831     "[TvTEvent] You can not enter!"                                                                      
832     "[TvTEvent] Is not open!"                                                                            
833     "[TvTEvent] You do not have the required item to enter!"                                             
834     "You do not have the necessary value to buy!"                                                        
835     "Not allowed in Trade!"                                                                              
836     "Discounted %d Zen for using the command!"                                                           
837     "Value to use: %d WC, %d WP, %d GP!"                                                                 
838     "Re-enter the command if you want to use!"                                                           
839     "Another guild user has the chest open!"                                                             
840     "You are not allowed to use the Guild Chest!"                                                        
841     "%s banned character %s for %d days!"                                                               
842     "%s banned character account %s for %d days!"                                                       
843     "[AntiHack] SpeedHack usage detected!"                                                               
844     "[Trade] Value Needed: %d Zen!"                                                                      
845     "[Trade] Value needed: %d WC!"                                                                       
846     "[Trade] Value Needed: %d WP!"                                                                       
847     "[Trade] Value Needed: %d GP!"                                                                       
848     "[Trade] %s does not have the necessary value!"   
849	  "[QUEST %d] Necessário %d WC para realizar!"
850	  "[QUEST %d] Necessário %d WP para realizar!"
851	  "[QUEST %d] Necessário %d GP para realizar!"
852       "[QUEST %d] Sem espaço no inventorio para receber seu prêmio!"
853       "[QUEST %d] O buff já está ativo, realize a quest depois!"
854       "Falta matar %d monstros para concluir a missão!"
855       "Missão Concluida!"
856       "[QUEST %d] Você não tem a patente necessária!"
857       "[QUEST %d] Necessário %d Kill(s) para continuar!"
