0
//Index   StartType   MonsterClass   CurrentState   NextIndex1   NextIndex2   NextIndex3   RequireIndex   RequireState   RequireMinLevel   RequireMaxLevel   RequireFamily   RequireDoW   RequireCDW   DW      DK      FE      MG      DL      SU      RF
16        0           257            0              17           *            *            16             0              *                 *                 *               *            *            1       1       1       0       0       1       0
17        0           257            0              20           18           *            17             0              *                 *                 *               *            *            1       1       1       0       0       1       0
18        0           257            0              19           *            *            18             0              *                 *                 *               *            *            1       1       1       0       0       1       0
19        0           257            0              17           *            *            19             0              *                 *                 *               *            *            1       1       1       0       0       1       0
20        0           257            1              *            *            *            20             1              *                 *                 *               *            *            1       1       1       0       0       1       0
21        0           257            0              22           *            *            20             3              1                 50                *               *            *            1       1       1       0       0       1       0
21        0           257            0              22           *            *            21             0              *                 *                 *               *            *            1       1       1       0       0       1       0
22        0           257            0              23           21           *            22             0              *                 *                 *               *            *            0       0       1       0       0       0       0
22        0           257            0              24           21           *            22             0              *                 *                 *               *            *            1       1       0       0       0       0       0
22        0           257            0              25           21           *            22             0              *                 *                 *               *            *            0       0       0       0       0       1       0
23        0           257            1              *            *            *            23             1              *                 *                 *               *            *            0       0       1       0       0       0       0
24        0           257            1              *            *            *            24             1              *                 *                 *               *            *            1       1       0       0       0       0       0
25        0           257            1              *            *            *            25             1              *                 *                 *               *            *            0       0       0       0       0       1       0
26        0           257            0              27           32           *            23             3              1                 50                *               *            *            1       1       1       0       0       1       0
26        0           257            0              27           32           *            24             3              1                 50                *               *            *            1       1       1       0       0       1       0
26        0           257            0              27           32           *            25             3              1                 50                *               *            *            1       1       1       0       0       1       0
26        0           257            0              27           32           *            26             0              *                 *                 *               *            *            1       1       1       0       0       1       0
27        0           257            0              28           32           *            27             0              *                 *                 *               *            *            1       1       1       0       0       1       0
28        0           257            0              29           *            *            28             0              *                 *                 *               *            *            1       1       1       0       0       1       0
29        0           257            1              *            *            *            29             1              *                 *                 *               *            *            1       1       1       0       0       1       0
30        0           257            0              31           *            *            29             3              1                 50                *               *            *            1       1       1       0       0       1       0
30        0           257            0              31           *            *            30             0              *                 *                 *               *            *            1       1       1       0       0       1       0
31        0           257            1              *            *            *            31             1              *                 *                 *               *            *            1       1       1       0       0       1       0
32        0           257            0              33           *            *            31             3              1                 50                *               *            *            0       0       1       0       0       0       0
32        0           257            0              33           *            *            32             0              *                 *                 *               *            *            0       0       1       0       0       0       0
32        0           257            0              34           *            *            31             3              1                 50                *               *            *            1       1       0       0       0       0       0
32        0           257            0              34           *            *            32             0              *                 *                 *               *            *            1       1       0       0       0       0       0
32        0           257            0              35           *            *            31             3              1                 50                *               *            *            0       0       0       0       0       1       0
32        0           257            0              35           *            *            32             0              *                 *                 *               *            *            0       0       0       0       0       1       0
33        0           257            1              *            *            *            33             1              *                 *                 *               *            *            0       0       1       0       0       0       0
34        0           257            1              *            *            *            34             1              *                 *                 *               *            *            1       1       0       0       0       0       0
35        0           257            1              *            *            *            35             1              *                 *                 *               *            *            0       0       0       0       0       1       0
36        0           257            0              39           60           *            33             3              1                 50                *               *            *            0       0       1       0       0       0       0
36        0           257            0              39           60           *            36             0              *                 *                 *               *            *            0       0       1       0       0       0       0
36        0           257            0              49           60           *            34             3              1                 50                *               *            *            0       1       0       0       0       0       0
36        0           257            0              49           60           *            36             0              *                 *                 *               *            *            0       1       0       0       0       0       0
36        0           257            0              54           60           *            34             3              1                 50                *               *            *            1       0       0       0       0       0       0
36        0           257            0              54           60           *            36             0              *                 *                 *               *            *            1       0       0       0       0       0       0
36        0           257            0              69           60           *            35             3              1                 50                *               *            *            0       0       0       0       0       1       0
36        0           257            0              69           60           *            36             0              *                 *                 *               *            *            0       0       0       0       0       1       0
39        0           257            0              40           41           48           39             0              *                 *                 *               *            *            0       0       1       0       0       0       0
40        0           257            1              *            *            *            40             1              *                 *                 *               *            *            0       0       1       0       0       0       0
41        0           257            1              *            *            *            41             1              *                 *                 *               *            *            0       0       1       0       0       0       0
42        0           257            1              *            *            *            40             3              1                 50                *               *            *            0       0       1       0       0       0       0
42        0           257            1              *            *            *            42             1              *                 *                 *               *            *            0       0       1       0       0       0       0
43        0           257            1              *            *            *            41             3              1                 50                *               *            *            0       0       1       0       0       0       0
43        0           257            1              *            *            *            43             1              *                 *                 *               *            *            0       0       1       0       0       0       0
44        0           257            0              46           *            *            42             3              1                 50                *               *            *            0       0       1       0       0       0       0
44        0           257            0              46           *            *            44             0              *                 *                 *               *            *            0       0       1       0       0       0       0
45        0           257            0              47           *            *            43             3              1                 50                *               *            *            0       0       1       0       0       0       0
45        0           257            0              47           *            *            45             0              *                 *                 *               *            *            0       0       1       0       0       0       0
46        0           257            0              48           *            *            46             0              *                 *                 *               *            *            0       0       1       0       0       0       0
47        0           257            0              48           *            *            47             0              *                 *                 *               *            *            0       0       1       0       0       0       0
48        0           257            0              60           *            *            48             0              *                 *                 *               *            *            0       0       1       0       0       0       0
49        0           257            1              *            *            *            49             1              *                 *                 *               *            *            0       1       0       0       0       0       0
50        0           257            1              *            *            *            49             3              1                 50                *               *            *            0       1       0       0       0       0       0
50        0           257            1              *            *            *            50             1              *                 *                 *               *            *            0       1       0       0       0       0       0
51        0           257            0              52           *            *            50             3              1                 50                *               *            *            0       1       0       0       0       0       0
51        0           257            0              52           *            *            51             0              *                 *                 *               *            *            0       1       0       0       0       0       0
52        0           257            0              53           *            *            52             0              *                 *                 *               *            *            0       1       0       0       0       0       0
53        0           257            0              60           *            *            53             0              *                 *                 *               *            *            0       1       0       0       0       0       0
54        0           257            1              *            *            *            54             1              *                 *                 *               *            *            1       0       0       0       0       0       0
55        0           257            1              *            *            *            54             3              1                 50                *               *            *            1       0       0       0       0       1       0
55        0           257            1              *            *            *            69             3              1                 50                *               *            *            1       0       0       0       0       1       0
55        0           257            1              *            *            *            55             1              *                 *                 *               *            *            1       0       0       0       0       1       0
56        0           257            0              57           *            *            55             3              1                 50                *               *            *            1       0       0       0       0       1       0
56        0           257            0              57           *            *            56             0              *                 *                 *               *            *            1       0       0       0       0       1       0
57        0           257            0              58           *            *            57             0              *                 *                 *               *            *            1       0       0       0       0       0       0
57        0           257            0              59           *            *            57             0              *                 *                 *               *            *            0       0       0       0       0       1       0
58        0           257            0              60           *            *            58             0              *                 *                 *               *            *            1       0       0       0       0       0       0
59        0           257            0              60           *            *            59             0              *                 *                 *               *            *            0       0       0       0       0       1       0
60        0           257            0              61           62           *            60             0              *                 *                 *               *            *            1       1       1       0       0       1       0
61        0           257            0              62           *            *            61             0              *                 *                 *               *            *            1       1       1       0       0       1       0
62        0           257            1              *            *            *            62             1              *                 *                 *               *            *            1       1       1       0       0       1       0
63        0           257            0              64           *            *            62             3              25                50                *               *            *            1       1       1       0       0       1       0
63        0           257            0              64           *            *            63             0              *                 *                 *               *            *            1       1       1       0       0       1       0
64        0           257            0              66           65           *            64             0              *                 *                 *               *            *            1       1       1       0       0       1       0
65        0           257            0              66           84           *            65             0              *                 *                 *               *            *            1       1       1       0       0       1       0
66        0           257            0              67           68           68           66             0              *                 *                 *               *            *            1       1       1       0       0       1       0
67        0           257            1              *            *            *            67             1              *                 *                 *               *            *            1       1       1       0       0       1       0
68        0           257            1              *            *            *            68             1              *                 *                 *               *            *            1       1       1       0       0       1       0
69        0           257            1              *            *            *            69             1              *                 *                 *               *            *            0       0       0       0       0       1       0
70        0           257            0              72           71           72           67             3              25                50                *               *            *            1       1       1       0       0       1       0
70        0           257            0              72           71           72           68             3              25                50                *               *            *            1       1       1       0       0       1       0
70        0           257            0              72           71           72           70             0              *                 *                 *               *            *            1       1       1       0       0       1       0
71        0           257            1              *            *            *            71             1              *                 *                 *               *            *            1       1       1       0       0       1       0
72        0           257            1              *            *            *            72             1              *                 *                 *               *            *            1       1       1       0       0       1       0
73        0           257            0              75           75           74           71             3              25                50                *               *            *            1       1       1       0       0       1       0
73        0           257            0              75           75           74           72             3              25                50                *               *            *            1       1       1       0       0       1       0
73        0           257            0              75           75           74           73             0              *                 *                 *               *            *            1       1       1       0       0       1       0
74        0           257            1              *            *            *            74             1              *                 *                 *               *            *            1       1       1       0       0       1       0
75        0           257            1              *            *            *            75             1              *                 *                 *               *            *            1       1       1       0       0       1       0
76        0           257            0              78           77           78           74             3              25                50                *               *            *            1       1       1       0       0       1       0
76        0           257            0              78           77           78           75             3              25                50                *               *            *            1       1       1       0       0       1       0
76        0           257            0              78           77           78           76             0              *                 *                 *               *            *            1       1       1       0       0       1       0
77        0           257            1              *            *            *            77             1              *                 *                 *               *            *            1       1       1       0       0       1       0
78        0           257            1              *            *            *            78             1              *                 *                 *               *            *            1       1       1       0       0       1       0
79        0           257            0              81           80           81           77             3              25                50                *               *            *            1       1       1       0       0       1       0
79        0           257            0              81           80           81           78             3              25                50                *               *            *            1       1       1       0       0       1       0
79        0           257            0              81           80           81           79             0              *                 *                 *               *            *            1       1       1       0       0       1       0
80        0           257            1              *            *            *            80             1              *                 *                 *               *            *            1       1       1       0       0       1       0
81        0           257            1              *            *            *            81             1              *                 *                 *               *            *            1       1       1       0       0       1       0
82        0           257            0              83           84           84           80             3              25                50                *               *            *            1       1       1       0       0       1       0
82        0           257            0              83           84           84           81             3              25                50                *               *            *            1       1       1       0       0       1       0
82        0           257            0              83           84           84           82             0              *                 *                 *               *            *            1       1       1       0       0       1       0
83        0           257            1              *            *            *            83             1              *                 *                 *               *            *            1       1       1       0       0       1       0
84        0           257            1              *            *            *            84             1              *                 *                 *               *            *            1       1       1       0       0       1       0
85        0           257            0              86           90           *            83             3              25                50                *               *            *            1       1       1       0       0       1       0
85        0           257            0              86           90           *            84             3              25                50                *               *            *            1       1       1       0       0       1       0
85        0           257            0              86           90           *            85             0              *                 *                 *               *            *            1       1       1       0       0       1       0
86        0           257            0              87           *            *            86             0              *                 *                 *               *            *            1       1       1       0       0       1       0
87        0           257            0              88           *            *            87             0              *                 *                 *               *            *            1       1       1       0       0       1       0
88        0           257            0              89           *            *            88             0              *                 *                 *               *            *            1       1       1       0       0       1       0
89        0           257            0              90           *            *            89             0              *                 *                 *               *            *            1       1       1       0       0       1       0
90        0           257            1              *            *            *            90             1              *                 *                 *               *            *            1       1       1       0       0       1       0
91        0           257            0              6            9            *            2              3              1                 50                *               *            *            1       1       0       0       0       0       0
91        0           257            0              6            9            *            4              3              1                 50                *               *            *            1       1       0       0       0       0       0
91        0           257            0              6            9            *            91             0              *                 *                 *               *            *            1       1       0       0       0       0       0
92        0           257            0              6            9            *            2              3              1                 50                *               *            *            0       0       0       0       0       1       0
92        0           257            0              6            9            *            4              3              1                 50                *               *            *            0       0       0       0       0       1       0
92        0           257            0              6            9            *            92             0              *                 *                 *               *            *            0       0       0       0       0       1       0
end

1
//Index   StartType   MonsterClass   CurrentState   NextIndex1   NextIndex2   NextIndex3   RequireIndex   RequireState   RequireMinLevel   RequireMaxLevel   RequireFamily   RequireDoW   RequireCDW   DW      DK      FE      MG      DL      SU      RF
0         0           257            0              2            1            *            *              *              15                49                *               *            *            1       1       1       0       0       1       0
0         0           257            0              2            1            *            0              0              *                 *                 *               *            *            1       1       1       0       0       1       0
0         0           257            0              2            1            *            *              *              15                29                *               *            *            0       0       0       1       1       0       1
0         0           257            0              2            1            *            0              0              *                 *                 *               *            *            0       0       0       1       1       0       1
1         0           257            2              *            *            *            1              2              *                 *                 *               *            *            1       1       1       1       1       1       1
2         0           257            0              3            *            *            2              0              *                 *                 *               *            *            1       1       1       1       1       1       1
3         0           257            0              4            *            *            3              0              *                 *                 *               *            *            1       1       1       1       1       1       1
4         0           257            0              5            *            *            4              0              *                 *                 *               *            *            1       1       1       1       1       1       1
5         0           257            0              6            *            *            5              0              *                 *                 *               *            *            1       1       1       1       1       1       1
6         0           257            0              7            *            *            6              0              *                 *                 *               *            *            1       1       1       1       1       1       1
7         0           257            0              8            *            *            7              0              *                 *                 *               *            *            1       1       1       1       1       1       1
8         0           257            1              *            *            *            8              1              *                 *                 *               *            *            1       1       1       1       1       1       1
9         0           257            0              11           10           *            8              3              15                49                *               *            *            1       1       1       0       0       1       0
9         0           257            0              11           10           *            9              0              *                 *                 *               *            *            1       1       1       0       0       1       0
9         0           257            0              11           10           *            8              3              15                29                *               *            *            0       0       0       1       1       0       1
9         0           257            0              11           10           *            9              0              *                 *                 *               *            *            0       0       0       1       1       0       1
10        0           257            2              *            *            *            10             2              *                 *                 *               *            *            1       1       1       1       1       1       1
11        0           257            1              *            *            *            11             1              *                 *                 *               *            *            1       1       1       1       1       1       1
12        0           257            0              14           13           *            11             3              15                49                *               *            *            1       1       1       0       0       1       0
12        0           257            0              14           13           *            12             0              *                 *                 *               *            *            1       1       1       0       0       1       0
12        0           257            0              14           13           *            11             3              15                29                *               *            *            0       0       0       1       1       0       1
12        0           257            0              14           13           *            12             0              *                 *                 *               *            *            0       0       0       1       1       0       1
13        0           257            2              *            *            *            13             2              *                 *                 *               *            *            1       1       1       1       1       1       1
14        0           257            1              *            *            *            14             1              *                 *                 *               *            *            1       1       1       1       1       1       1
15        0           257            0              17           16           *            14             3              15                49                *               *            *            1       1       1       0       0       1       0
15        0           257            0              17           16           *            15             0              *                 *                 *               *            *            1       1       1       0       0       1       0
15        0           257            0              17           16           *            14             3              15                29                *               *            *            0       0       0       1       1       0       1
15        0           257            0              17           16           *            15             0              *                 *                 *               *            *            0       0       0       1       1       0       1
16        0           257            2              *            *            *            16             2              *                 *                 *               *            *            1       1       1       1       1       1       1
17        0           257            1              *            *            *            17             1              *                 *                 *               *            *            1       1       1       1       1       1       1
18        0           257            0              20           19           *            *              *              50                119               *               *            *            1       1       1       0       0       1       0
18        0           257            0              20           19           *            18             0              *                 *                 *               *            *            1       1       1       0       0       1       0
18        0           257            0              20           19           *            *              *              30                99                *               *            *            0       0       0       1       1       0       1
18        0           257            0              20           19           *            18             0              *                 *                 *               *            *            0       0       0       1       1       0       1
19        0           257            2              *            *            *            19             2              *                 *                 *               *            *            1       1       1       1       1       1       1
20        0           257            0              21           *            *            20             0              *                 *                 *               *            *            1       1       1       1       1       1       1
21        0           257            0              22           *            *            21             0              *                 *                 *               *            *            1       1       1       1       1       1       1
22        0           257            0              23           *            *            22             0              *                 *                 *               *            *            1       1       1       1       1       1       1
